pair,ticker_a,ticker_b,coint_p_value,hedge_ratio,spread_adf_p,cointegrated
CVX/COP,CVX,COP,0.029936,1.0263,0.0073,True
BP/SLB,BP,SLB,0.083259,0.3742,0.024477,False
XOM/COP,XOM,COP,0.228409,0.8724,0.088436,False
XOM/CVX,XOM,CVX,0.244909,0.8177,0.0975,False
COP/SLB,COP,SLB,0.332485,1.5314,0.109518,False
CVX/SLB,CVX,SLB,0.692387,1.5596,0.448758,False
COP/BP,COP,BP,0.751387,3.9014,0.520263,False
CVX/BP,CVX,BP,0.775899,3.9983,0.553209,False
XOM/SLB,XOM,SLB,0.814019,1.4604,0.60531,False
XOM/BP,XOM,BP,0.905346,3.7941,0.760477,False
